id,resumen,facultad
TR-00001,"Introducción: Dado que la enfermedad cardiovascular (ECV) es la causa más común de mortalidad en pacientes con artritis reumatoide (AR), el objetivo fue determinar los factores asociados a esta complicación en una serie amplia de pacientes colombianos. Adicionalmente, se efectuó una revisión sistemática de la literatura para abordar el estado del arte sobre los factores de riesgo no tradicionales para la ECV en AR. Métodos: Estudio analítico, de tipo corte transversal en el que 800 pacientes colombianos con AR se evaluaron teniendo en cuenta variables asociadas a ECV. Se siguieron las pautas de los elementos de Información Preferidos para Revisiones Sistemáticas y Meta-análisis (PRISMA). Resultados: Colesterol ≥200 mg/dL (OR 3.44; IC 95% 2.21-5.38; p<0.0001), índice de masa corporal anormal (OR 1.70; IC 95% 1.12-2.58; p=0.011), fueron factores de riesgo tradicionales significativamente asociados con ECV en estos pacientes. Como factores no tradicionales de riesgo, autoinmunidad familiar (OR 2.03; IC 95% 1.13-3.65; p=0.017), más de 10 años de enfermedad (OR 2.12; IC 95% 1.36-3.29; p=0.001), trabajadores en las tareas del hogar (OR 2.29; IC 95% 1.45-3.61; p<0.0001), uso de esteroides sistémicos (OR 2.51; IC 95% 1.18-5.37; p=0.017) se asociaron con ECV en nuestra población. A través de la revisión sistemática varios factores y resultados relacionados con las ECV fueron confirmados e identificados. Conclusiones: Los factores de riesgo tradicionales no explican completamente las altas tasas de ECV en los pacientes con AR. Así, factores de riesgo no tradicionales, relacionados con autoinmunidad se reconocen ahora y actúan sinérgicamente, como predictores de esta comorbilidad.",medicina
TR-00002,"Los Exchange Traded-Funds (ETFs) se han convertido en una de las posibilidades más llamativas para inversores alrededor del mundo. La posibilidad de realizar una sola inversión con el riesgo ya diversificado y la facilidad que presentan los ETFs, ha hecho que el número de estos se haya disparado en el mercado, por lo que la estimación y anticipación de estos activos ha adquirido una gran importancia. En el presente estudio se tiene como objetivo estimar el retorno y riesgo esperado de un ETF integrado por Criptomonedas, Acciones, y Commodities, mediante algoritmos de Machine Learning (ML). Para alcanzar este objetivo, se construyeron tres ETFs con distintos perfiles de riesgo a base de 23 activos (serie de tiempo de su variación porcentual), y a base de la volatilidad de cada uno de ellos. Posteriormente, se realizó la estimación con los modelos Extreme Gradient Boosting (XGB), Extra Trees (ET), K Neighboor (KNN), y Neural Prophet. Como resultado, se obtuvo que es posible anticipar que los tres ETFs tienen potencial de crecimiento, y presentan diferentes oportunidades de inversión en cada uno de ellos. Se concluye que la estimación es posible, sin embargo, se deben tener en cuenta distintos modelos para llegar a conclusiones más completas y aplicables.",economia
TR-00003,"Introducción: La hipertensión portal se define como el aumento en el gradiente de presión porto sistémica > a 5 mmHg, es la anomalía hemodinámica asociada a complicaciones más graves en cirrosis. La hemorragia varicosa es una emergencia médica asociada con una mortalidad que a pesar del progreso reciente sigue siendo del orden del 10-20% a las 6 semanas. Diseño: Se realizó un estudio descriptivo de corte transversal.´Métodos: Se hizo un análisis univariado haciendo un análisis descriptivo de las variables numéricas continúas utilizando estadísticas de tendencia central. Se usó el test Shapiro-Wilk en grupos con n<3. Resultados: La prevalencia fue 15% de hipertensión portal en las endoscopias realizadas, la etiología 76% era sinusoidal, de estas la causa autoinmune era la más común, el tipo de varices más prevalente fue GOV 1, encontrándose signos rojos en un 44%. De los que tenían varices GOV1 el mayor porcentaje eran CHILD B 41%. El tratamiento endoscópico que más se realizo fue ligadura endoscópica. El 10% de los pacientes presentó sangrado digestivo, 50% presento resangrado, requiriendo el 61% colocación de TIPS. Conclusión: La etiología sinusoidal varía con respecto a la epidemiologia local ya que prima las causas autoinmunes. Se observó que a mayor CHILD no se relacionaba con mayores signos de hipertensión portal. El sangrado digestivo no se controló en un 50% lo que obliga a replantear las opciones médicas, endoscópicas, derivadas del paciente y adherencia a guías para disminuir el porcentaje de resangrado.",medicina
TR-00004,"El direccionamiento estratégico está destinado para que las organizaciones cumplan con sus metas y tengan perdurabilidad en el tiempo; es una forma metodológica en la cual se establecen La formulación y el planteamiento estratégicos, se identifican las brechas entre el sueño de la empresa y su realidad, para desplegar la plata forma estratégica. Kathmandu es un restaurante conocido por su diversidad cultural gastronómica, ubicado en Usaquén al Norte de Bogotá. Su serviespacio reúne los sabores, aromas, decoración y elixires del oriente, su música incluye una fusión de sonidos que permite materializar la experiencia que quiere brindar para satisfacer las expectativas de sus comensales y brindarles una experiencia diferente. Los fines de semana presentan shows de danza de vientre, para acompañar la comida y el rato que dispongan disfrutar en este lugar. Este restaurante tiene un diferenciador en su servicio, que le ofrece una ventaja competitiva, Kathmandu brinda la posibilidad de que además del deleite de sus platos, los clientes puedan adquirir toda la decoración de este lugar, estas son artesanías originales traídas de Nepal, India, Tailandia, Indonesia y sus alrededores. Otro atrayente de este restaurante son los cocteles alusivos a las regiones del oriente, y la narguile que ofrece a sus clientes. Al pasar de los años, ciertos inconvenientes presentados en el negocio, con los clientes, el personal y las utilidades, han hecho que los gerentes se preocupen por encontrar la raíz del problema y buscar la solución óptima para perdurar en el tiempo con los mejores beneficios posibles, pues las estrategias que estaban implementando no van acorde a su misión y visión, por lo que es necesario realizar una restructuración de ciertos procesos enfocados al direccionamiento estratégico. Se realizó un análisis en una reunión junto a las directivas sobre cada área de la organización donde se evidenciaron problemas que deben ser tratados para hacer de Kathmandu una empresa más eficiente, eficaz y productiva. Y prepararla para afrontar los cambios que el tiempo le presente, en cuanto a preferencias de los clientes, competencia, entre otras, bien sean a corto, mediano o largo plazo. Algunos de los principales problemas encontrados son: el servicio al cliente, la selección adecuada de personal y capacitación de este, la falta de manejo de un conducto jerárquico y repartición de funciones entre los colaboradores, el informe adecuado sobre la inconformidad de los clientes con su solución, el manual de funciones, el manejo de inventarios y su rotación, verificación de calidad de los productos, manejo de proveedores, entre otros. Kathmandu, a pesar de tener problemas evidentes, es una empresa que por los servicios y productos que ofrece sigue generando buenas utilidades, por esto los gerentes no le habían prestado la debida atención a estos inconvenientes que están poniendo en juego la perdurabilidad de la empresa y que afecta la optimización de las utilidades y minimización de costes sin afectar la calidad brindada al cliente. El objetivo de este restaurante es que el área de recursos humanos sea restructurada en cada uno de los procesos para articularla al direccionamiento estratégico de Kathmandu; pues en esta área se generan la mayoría de los problemas presentados anteriormente. El presente proyecto pretende diseñar el direccionamiento estratégico del área recursos humanos del restaurante Kathmandu para superar la problemática identificada y garantizar la efectividad de sus procesos y adicionalmente evidenciar la creencia de éxito sostenido que se manejaba en este lugar. Este proyecto se realizara con una metodología mixta, para tener aspectos de la investigación cuantitativa y cualitativa y poder realizar una investigación más completa que lleve a una óptima solución del problema abarcado. Se utilizara el direccionamiento estratégico como herramienta para replantear el área de recursos humanos de la organización y alcanzar la efectividad en sus procesos.",administracion_empresas
TR-00005,"En esta monografía se analizará la importancia discursiva de la noción de libertad para el pueblo norteamericano, y cómo en su nombre y en pro de su defensa se han esgrimido posturas tan opuestas al aislacionismo como al intervencionismo, discursos característicos de su política exterior. El tema ha sido elegido a partir del interés subjetivo que se ha creado, teniendo en cuenta las acciones contradictorias de los Estados Unidos desde el momento en el que se erigieron como potencia hegemónica tras la finalización de la Segunda Guerra Mundial en 1945. Para realizar el presente estudio se tomarán en cuenta diferentes elementos. El primero de ellos que se analizará en el capítulo 1, es el concepto de libertad, relevante en tanto que ha servido de apoyo a la nación norteamericana para enfrentar desde sus inicios como república (1776) los desafíos que encaraba al mostrarse al mundo como un ente autónomo con ambición de mantenerse libre de cualquier injerencia del exterior.",gobierno
TR-00006,"El proyecto de gestión de recursos humanos se centra en una empresa familiar con 20 años de experiencia en la producción de mini rosas, que emplea alrededor de 250 personas. Ante el creciente desafío de la rotación de personal en el área productiva, se ha diseñado un plan de incentivos basado en investigaciones como entrevistas, observación directa, encuestas y revisión bibliográfica. Este plan tiene como objetivo principal fortalecer la estabilidad laboral y eficiencia operativa mediante incentivos vinculados a la permanencia y desempeño del personal. Para su efectiva implementación, es esencial establecer un sistema de seguimiento detallado y definir metas específicas por subárea. Además, se prevé una inversión financiera modelada en el plan de ruta del presente documento. La ejecución de este proyecto busca reducir significativamente la rotación de empleados, mejorar la productividad, fortalecer el sentido de pertenencia del personal y minimizar los costos relacionados con la pérdida de talento.",administracion_empresas
TR-00007,"Al menos 4,4 millones de hombres y 1,2 millones de mujeres en América Latina padecen trastornos por consumo de sustancias. La carga sanitaria recae de forma desproporcionada en los países de ingresos bajos y medianos, donde los programas para el tratamiento y la prevención no están disponibles. Es por esto que es importante identificar los factores sociodemográficos, socioeconómicos y el área de vivienda asociados al consumo de sustancias psicoactivas en Colombia. Metodología: Estudio analítico de corte transversal con fuente de información secundaria. Se realizó un análisis bivariado y posterior un análisis multivariado en donde se determinó la razón de prevalencias para establecer la fuerza de asociación. Resultados: El área urbana (RP 1.19), la edad <44 años (RP = 1.23), el sexo masculino (RP 1.23) y el estado civil casado se identificaron como factores de riesgo, (RP 1.28) para el consumo de alcohol. En cuanto al consumo de tabaco, el área urbana (RP 1.26), el sexo masculino (RP 1.17) y el estado civil fueron factores de riesgo, (RP 1.41 y RP 1.33). Por último, el área urbana (RP 2.87), el estado civil (RP 0.52 y RP 0.49) y el género masculino (RP 1.45) se comportaron como factores de riesgo para consumo de cannabis. Conclusión: Los hallazgos aportan nuevo conocimiento sobre los factores sociodemográficos asociados al consumo de sustancias psicoactivas. Información importante para realizar políticas de salud pública direccionadas a disminuir el impacto de los trastornos por consumo de sustancias",medicina
TR-00008,"La apnea del prematuro es una patología frecuente que se presenta en el 85% de los recién nacidos menores de 34 semanas de edad gestacional y en el 95-100% de los menores de 28 semanas. Con respecto al peso al nacer, se manifiesta en el 92% de los de peso menor a 1250 gramos y en el 50% de los de peso menor a 1500 gramos. Desde 2003, se aprobó en Colombia el uso de citrato de cafeína para la prevención y el tratamiento de la apnea del prematuro, basados en la evidencia. Metodología: Se realizó un estudio de interención simple comparando el citrato de cafeína con la aminofilina para la prevención y manejo de la apnea en pretérminos menores de 35 semanas de edad. Resultados: Se incluyeron 118 recién nacidos pretérminos de los cuales 18,6% fueron menores de 28 semanas, 79,7% de 34 semanas y dos 1,7% mayores o iguales a 34,1 semanas. 56 neonatos recibieron citrato de cafeína. De éstos, 33,9% de forma profiláctica y 66,1%, terapéutica; 28 (23,7%) recibieron aminofilina y 34 (28,8%) no recibieron ninguno de los dos medicamentos. El citrato de cafeína mostró menos efectos secundarios comparado con aminofilina (p <0,01). Discusión: El citrato de cafeína, administrado en forma profiláctica o terapéutica, mostró resultados superiores, estadísticamente significativos, en comparación con aminofilina y con los controles sin tratamiento, para la prevención y el tratamiento de la apnea del prematuro, presentando, además, menores efectos secundarios.",medicina
TR-00009,"Introducción: La obesidad y el sobrepeso son enfermedades complejas y multifactoriales que afectan a la población mundial. Objetivo: Determinar la prevalencia y los factores sociodemográficos, antropométricos, clínicos y hábitos de vida para obesidad/sobrepeso en una muestra poblacional de 18 a 65 años en Medellín - Colombia en el año 2011. Metodología: Enfoque cuantitativo, observacional, descriptivo, incluye 1356 registros provenientes de la encuesta STEPwise desarrollada en Medellín en el año 2011. Resultados: La proporción de mujeres con sobrepeso es casi del 50%, el sobrepeso se presenta principalmente en la población mayor de 55 años, en la población con sobrepeso/obesidad se evidencian los niveles de HDL bajos, niveles altos de glucosa con un OR de 1,027 (IC:1,017 - 1,036) y colesterol total, así como el consumo de tabaco tiene el doble de riesgo con un OR de 2,017 (IC:1,479 - 2,751) y dentro de las características sociodemográficas se encontró que ser estudiante aumentaba la probabilidad de tener las entidades a estudio, mientras que ser casado es un factor protector. Conclusiones: Los factores de riesgo asociados al sobrepeso y la obesidad para la población estudiada son un HDL bajo, colesterol total elevado, glucosa alta, consumo de alcohol y cigarrillo; muchos de estos factores son modificables por lo que es importante que los resultados de esta investigación sean consultados por los entes competentes y utilizados para el desarrollo de estrategias de salud pública encaminadas a la prevención de los factores de riesgo y por lo tanto a la disminución del sobrepeso y la obesidad.",medicina
TR-00010,"La actividad física acuática se presenta como una de las mejores alternativas para combatir los efectos del sedentarismo en las personas ciegas, siendo una de las prácticas más atractivas para esta población. Sin embargo, entre las barreras determinantes que dificultan su desarrollo, se evidencia la carencia de tecnologías adecuadas de navegación que faciliten el desplazamiento y la orientación en escenarios acuáticos como la piscina. Los dispositivos existentes se centran principalmente en la detección de obstáculos y fueron diseñados, en su mayoría, como herramientas de asistencia para la natación paralímpica. En el marco de la investigación aplicada, acorde a la metodología del diseño ingenieril y el diseño de producto, se desarrolló un sistema de navegación para la asistencia de la actividad física en personas ciegas que integra la detección de obstáculos y la orientación espacial. Este proceso se realizó en cinco etapas: el reconocimiento de las necesidades del usuario, la definición del producto basado en tales necesidades, el diseño conceptual, la construcción del prototipo y el desarrollo de la interfaz usuario-entrenador. De acuerdo con las métricas y los requerimientos establecidos durante las etapas del proceso, en contraste con las tecnologías disponibles, el sistema obtenido incluyó diversas características en su diseño, además de la orientación y la detección de obstáculos, como ergonomía, autonomía, facilidad de manejo y medición de la actividad física. Aspectos como seguridad, confiabilidad y disponibilidad serán evaluados en una etapa posterior de validación.",medicina
